"maxI","maxI.time","etiquette","Cgg.multiplier","Cgq.multiplier","lambda.multiplier","beta.multiplier","sigma.multiplier"
9860.79770709232,78,"Cgg.multiplier= 1.82567544485183 , Cgq.multiplier= 1.06773782465507 , lambda.multiplier= 0.509947092014719 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.472586985070301",1.82567544485183,1.06773782465507,0.509947092014719,0.778800783071405,0.472586985070301
10400.3364953613,78,"Cgg.multiplier= 1.84916590772491 , Cgq.multiplier= 1.035535981143 , lambda.multiplier= 0.426363800338685 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.48435806118379",1.84916590772491,1.035535981143,0.426363800338685,0.778800783071405,0.48435806118379
3605.79138013893,79,"Cgg.multiplier= 1.16253735814218 , Cgq.multiplier= 0.7199270890724 , lambda.multiplier= 0.61793730877127 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.574149338359754",1.16253735814218,0.7199270890724,0.61793730877127,0.778800783071405,0.574149338359754
9003.12936510202,79,"Cgg.multiplier= 1.73669141475528 , Cgq.multiplier= 0.939367766588554 , lambda.multiplier= 0.434547234808765 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.387405426764698",1.73669141475528,0.939367766588554,0.434547234808765,0.778800783071405,0.387405426764698
7228.39308286501,77,"Cgg.multiplier= 1.53764223275507 , Cgq.multiplier= 1.39195359449619 , lambda.multiplier= 0.516697086247416 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.64195523207368",1.53764223275507,1.39195359449619,0.516697086247416,0.778800783071405,0.64195523207368
6018.07114252707,77,"Cgg.multiplier= 1.40826743721331 , Cgq.multiplier= 1.43481628890812 , lambda.multiplier= 0.502106197977405 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.672624563584444",1.40826743721331,1.43481628890812,0.502106197977405,0.778800783071405,0.672624563584444
7873.94382982474,77,"Cgg.multiplier= 1.63768552954171 , Cgq.multiplier= 0.992496472718604 , lambda.multiplier= 0.614990890270882 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.626418550999893",1.63768552954171,0.992496472718604,0.614990890270882,0.778800783071405,0.626418550999893
2851.63108470777,81,"Cgg.multiplier= 1.00275872733785 , Cgq.multiplier= 0.800813410456789 , lambda.multiplier= 0.380249578265974 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.511848423702518",1.00275872733785,0.800813410456789,0.380249578265974,0.778800783071405,0.511848423702518
7151.11399808835,79,"Cgg.multiplier= 1.5537250282385 , Cgq.multiplier= 0.933158488579102 , lambda.multiplier= 0.488067811536183 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.415380113183504",1.5537250282385,0.933158488579102,0.488067811536183,0.778800783071405,0.415380113183504
7789.85011042009,78,"Cgg.multiplier= 1.60443347383069 , Cgq.multiplier= 0.92249373095974 , lambda.multiplier= 0.519745806696764 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.575562241716833",1.60443347383069,0.92249373095974,0.519745806696764,0.778800783071405,0.575562241716833
5374.04332167373,77,"Cgg.multiplier= 1.34354904001428 , Cgq.multiplier= 0.758887493061086 , lambda.multiplier= 0.50170589022218 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.68183162433632",1.34354904001428,0.758887493061086,0.50170589022218,0.778800783071405,0.68183162433632
8069.4737543632,76,"Cgg.multiplier= 1.61925120416715 , Cgq.multiplier= 1.47484773176451 , lambda.multiplier= 0.520225289902103 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.697222381733458",1.61925120416715,1.47484773176451,0.520225289902103,0.778800783071405,0.697222381733458
9323.26894700754,79,"Cgg.multiplier= 1.84663096912484 , Cgq.multiplier= 1.07852852362626 , lambda.multiplier= 0.582540495437291 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.336930795559748",1.84663096912484,1.07852852362626,0.582540495437291,0.778800783071405,0.336930795559748
3662.83100033792,80,"Cgg.multiplier= 1.13014269183801 , Cgq.multiplier= 0.746781321967967 , lambda.multiplier= 0.453150128047759 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.465029348789092",1.13014269183801,0.746781321967967,0.453150128047759,0.778800783071405,0.465029348789092
5073.88789236524,78,"Cgg.multiplier= 1.34834963316 , Cgq.multiplier= 0.8442930913109 , lambda.multiplier= 0.642456798232607 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.62947504635833",1.34834963316,0.8442930913109,0.642456798232607,0.778800783071405,0.62947504635833
9605.94582074239,77,"Cgg.multiplier= 1.8522661769382 , Cgq.multiplier= 1.43473073739347 , lambda.multiplier= 0.674386594629492 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.529245314366119",1.8522661769382,1.43473073739347,0.674386594629492,0.778800783071405,0.529245314366119
10975.6168137973,78,"Cgg.multiplier= 1.89257335035707 , Cgq.multiplier= 0.914180750007266 , lambda.multiplier= 0.357890358313393 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.434784628976708",1.89257335035707,0.914180750007266,0.357890358313393,0.778800783071405,0.434784628976708
2760.051014124,81,"Cgg.multiplier= 0.984637505262357 , Cgq.multiplier= 1.20694187598703 , lambda.multiplier= 0.39678058874351 , beta.multiplier= 0.778800783071405 , sigma.multiplier= 0.472751688495811",0.984637505262357,1.20694187598703,0.39678058874351,0.778800783071405,0.472751688495811
