"column_label","time","S","Lg","Lq","Ig_pres","Iq_pres","Iag_r","Iaq_r","Ismg","Ism_iso","Iss","Iss_hosp","Iss_isohome","H_g_OK","H_g_denied","H_ICU_OK","H_ICU_denied","H_vent_OK","H_vent_denied","D","R","N_tot","L_tot1","I_tot1"
"1",0,1e+06,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000200,200,0
"1",1,999999.931518483,92.2489969812038,92.2013643539546,7.49641956974779,7.49545156052913,0.300093250278364,0.240827004689703,0.00808551919396463,0.00113400098159367,0.0657359284062165,6.9758383631805e-05,0.00156227286885851,0.000107036862222745,3.99734397901189e-22,1.50120114633953e-05,8.03903016083848e-23,2.10544744583537e-06,5.8371234213797e-23,7.625691797555e-06,0.00860953705343159,1000200,184.450361335158,15.6093788650793
"1",2,999999.483633526,85.4164428775659,85.0650607173401,13.8372021096458,13.8229197670461,1.1070799789388,0.913057499582835,0.0298242395979684,0.00418287510895111,0.24247349266641,0.000294223920697468,0.0115239755765395,0.000786673496050662,1.22065929202345e-20,0.00011033163057495,3.73763106576371e-21,1.54741055424389e-05,6.37375470544526e-22,0.000118266380440318,0.0652739715255085,1000200,170.481503594906,29.9685581620841
"1",3,999998.356478773,79.6756871567977,78.5817852047581,19.191700217895,19.1250216060307,2.29889756631298,1.94817987923296,0.0619075689873696,0.00868258949309745,0.503313569003005,0.000639437357270653,0.0358690818109286,0.00221330914022073,8.28198879234754e-20,0.000310418499711687,1.22371768667401e-20,4.35364600507839e-05,-1.28922984270752e-22,0.000546615079771277,0.208723470274043,1000200,158.257472361556,43.1742115161233
"1",4,999996.323344023,75.1261457496721,72.7331870074086,23.7265345224828,23.5321350658381,3.77570173027166,3.28621759291816,0.101601167577339,0.0142496506408354,0.826025752661289,0.00107403788783926,0.0784368115070087,0.00431731548078257,2.24021413404252e-19,0.000605507188296757,1.24918001103815e-20,8.49229009811871e-05,2.21642077487602e-21,0.00156039992554623,0.468778742532233,1000200,147.859332757081,55.341976331785
"1",5,999993.216907574,71.8105251054014,67.4943458981625,27.6007304263944,27.1627541355623,5.45765285182351,4.87496981624821,0.146681774719638,0.0205722443449435,1.19253475381819,0.00157144952107735,0.141392213996863,0.00696320268570288,4.82335344642849e-19,0.000976595131518191,5.90918758123113e-20,0.000136968302368002,2.49338006504254e-21,0.00344107215689659,0.867843917512474,1000200,139.304871003564,66.5988596664291
"1",6,999988.917033426,69.7293669300692,62.8358523230764,30.9624898011545,30.1239895695055,7.28262880346264,6.66928605906762,0.195375877644962,0.0274016339228395,1.58842176947123,0.0021132131980321,0.225622119778816,0.0100092086793546,3.26036459930843e-19,0.00140380007703604,5.26545058136061e-20,0.000196884161317484,4.55313935359668e-21,0.00646504109063666,1.42234353955038,1000200,132.565219253146,77.0773288472061
"1",7,999983.339987876,68.8533714924915,58.7255778543924,33.9471555525776,32.5121245372373,9.20394560234458,8.6303917884606,0.246301227075559,0.0345439577312357,2.0024490006143,0.00268117855991901,0.331070387125167,0.013335418042308,8.47300258267902e-19,0.00187030378472507,3.92838053045946e-20,0.000262311705269308,1.62145195123159e-21,0.0108935836194139,2.14403792872814,1000200,127.578949346884,86.9106632317262
"1",8,999976.429008189,69.1333986508605,55.1300442318857,36.6765099592942,34.4134508725618,11.1880769853441,10.7251746065375,0.298409501832106,0.0418521878282202,2.42609351083013,0.003264128261994,0.457012816334219,0.0168413145249481,7.22332656569303e-19,0.00236200876461643,9.45469850260197e-20,0.00033127374919934,2.97132537009788e-21,0.016968390355679,3.0412013725374,1000200,124.263442882746,96.2298445688243
"1",9,999968.146570518,70.5086194230449,52.0156169052639,39.2583434729608,35.9047992176417,13.2127110596266,12.9256608972504,0.350939045043251,0.0492195011862257,2.85316296783131,0.00385248896085207,0.602280471366737,0.020450374948874,7.02461838551095e-19,0.00286818257549772,1.78754160290789e-19,0.000402265059049282,1.67488566523078e-20,0.0249086412991757,4.11959456880809,1000200,122.524236328309,105.160969121868
"1",10,999958.467538893,72.912938354739,49.3493414043477,41.7871283395338,37.0544641337544,15.2647733447473,15.2083828210054,0.40336643182514,0.056572487017665,3.27940188475723,0.0044410320322527,0.765440812039539,0.0241042569068658,2.21336821080946e-19,0.00338064264486259,7.98406771653934e-20,0.000474138022027478,2.06500363239345e-20,0.0349110339332408,5.38333999044248,1000200,122.262279759087,113.823971286713
"1",11,999947.373741245,76.2800062019306,47.0996540592131,44.3447226836468,37.9228554775229,17.338778669599,17.5539022383916,0.455366957234804,0.0638656051766032,3.7021703840228,0.00502425761635096,0.944940194782131,0.0277642898246343,3.49758577634065e-19,0.00389396539159637,1.18813671357532e-19,0.000546131976244417,1.93807599689486e-20,0.0471501654944703,6.83561747431988,1000200,123.379660261144,122.331626467993
"1",12,999934.849456717,80.5469566544541,45.2368678934932,47.0014900241117,38.5632464834107,19.4353585733048,19.9463424702287,0.506779047494049,0.0710761948024722,4.1201548576752,0.00560090495274453,1.13921348968016,0.0314038413350516,1.00369196875107e-18,0.00440441560343368,2.30725723821105e-20,0.000617723054985568,-1.33949134600686e-21,0.0617802422956838,8.479250467877,1000200,125.783824547947,130.789262045661
"1",13,999920.877788538,85.6569870536329,43.7334563639065,49.8177310856482,39.022599745533,21.5599657896168,22.372927631238,0.557572502484665,0.0782000203028664,4.53310977629809,0.00617166216430731,1.34676401272904,0.0350076596514022,1.21869242591545e-18,0.00490985420424454,1.28524969886513e-20,0.000688611250994389,1.99989507353117e-22,0.0789375436303808,10.3171821503194,1000200,129.390443417539,139.295042226015
