"time","Sg","Lg","Lq","Iag","Iaq","Ismg","Ismq","Issq","R","D","Hg","AGG_TOTAL_PEOPLE","AGG_L_rowSums","AGG_I_rowSums","AGG_S_rowSums","AGG_R_rowSums","AGG_D_rowSums","AGG_H_rowSums","trans_rate","frac_contact_trace","Cgg","Cgq","t_latency","f_symp","t_Ia_R","f_mild","f_mild_iso","t_presymp","t_diag","t_mild_symptomatic","f_severe_death","t_severe_recovery","t_severe_Death","t_severe_Hosp","Hg_cap","f_Hg_saved","t_Hg","max_time_steps","CHANGE_Sg_in","CHANGE_D_in","CHANGE_Lg_in","CHANGE_Lq_in","CHANGE_Iag_in","CHANGE_Iaq_in","CHANGE_Ismg_in","CHANGE_Ismq_in","CHANGE_Issq_in","CHANGE_Hg_in","CHANGE_R_in"
11,994671.393478296,292.893715924312,2575.72170125526,269.086759736954,1888.47951232934,40.8084395082133,231.247823879875,13.606775713076,85.1763591232472,0.903981022478136,30.6814532105664,1000100,2868.61541717958,2443.22931116746,994671.393478296,85.1763591232472,0.903981022478136,30.6814532105664,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.378467227752768,151.97098430258,1367.73885872322,79.1604637633275,696.14100033926,17.3489903936851,98.3109455642156,18.8283616675652,13.606775713076,34.2785460028063
12,992940.157896268,376.10059514321,3338.86940302712,338.838253648564,2536.83788759282,57.0394288263719,323.223430016108,18.309253046351,125.676244695786,1.35360469087799,43.5940030442852,1000100,3714.96999817033,3274.24825313022,992940.157896268,125.676244695786,1.35360469087799,43.5940030442852,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.527589798379249,196.14955531485,1765.34599783365,101.648809498165,902.397135953275,23.123311851722,131.032100493091,25.0950671258998,18.309253046351,47.3069626749827
13,990705.911244702,483.930424895572,4320.24040533023,428.967921813715,3370.53963830607,78.3439830483069,443.949237273739,24.3612823009784,181.118079251257,1.97458765218582,60.6631954258663,1000100,4804.1708302258,4346.16206274281,990705.911244702,181.118079251257,1.97458765218582,60.6631954258663,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.723087039325381,253.09923312998,2277.89309816982,130.792006728533,1167.63254198114,30.5518402909232,173.127094981898,33.1570359746453,24.3612823009783,64.3268615651049
14,987823.858454113,623.309695618491,5582.97437754777,545.478322862272,4442.70871577946,106.143648449659,601.48067454807,32.1484430017816,256.03192098634,2.81953286251346,83.0462142304069,1000100,6206.28407316626,5727.95980464125,987823.858454113,256.03192098634,2.81953286251346,83.0462142304069,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,0.977967310710183,326.372443147455,2937.35198832709,168.462079896889,1508.91199393183,40.1100119777182,227.290067873736,43.5302455572136,32.1484430017816,86.4630282751307
15,984109.342673434,803.035220935481,7206.85413809453,696.034509366414,5821.67279869974,142.271103981001,806.202922559005,42.1684327567665,356.228030240432,3.95585418299906,112.234315749746,1000100,8009.88935903001,7508.34976736293,984109.342673434,356.228030240432,3.95585418299906,112.234315749746,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,1.30900238273711,420.41728002503,3783.75552022527,217.036546198779,1947.79841570122,52.40888446416,296.98367863024,56.8778591083906,42.1684327567665,115.164537955938
16,979328.039720609,1034.1932456769,9292.12250946471,890.400428968734,7594.83200835377,189.085307348655,1071.48340830905,55.060186018657,489.164460633226,5.47004994699596,150.148674669806,1000100,10326.3157551416,9800.86133899887,979328.039720609,489.164460633226,5.47004994699596,150.148674669806,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,1.73777692748466,540.745287528409,4866.70758775568,279.511688020783,2511.38446201749,68.2297540285103,386.635272828225,74.0477950697011,55.060186018657,152.293769741939
17,973184.543127401,1330.6213205786,11963.6736392577,1140.96187843169,9873.32040732927,249.614192250556,1414.48042275315,71.6394314832531,664.412752552808,7.47313607173439,199.259691889444,1000100,13294.2949598363,12750.0163322479,973184.543127401,664.412752552808,7.47313607173439,199.259691889444,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,2.29198807514849,694.086175187788,6246.7755766901,359.627383940162,3233.4253079075,88.5658438598039,501.873115205556,96.1179700804074,71.6394314832531,200.236067566595
18,965309.581558999,1709.37831574239,15375.3091568409,1463.33987474986,12797.4923777629,327.730323771497,1857.13850137182,92.9413410358972,894.246035243124,10.1075351457562,262.73497933627,1000100,17084.6874725833,16538.642418692,965309.581558999,894.246035243124,10.1075351457562,262.73497933627,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,3.00704289908874,888.492626119319,7996.43363507388,461.994139389836,4155.48896130835,114.671352142455,649.804328807245,124.449529456928,92.9413410358972,262.033508503038
19,955246.721664176,2191.14661437434,19713.3779458621,1877.07989533694,16543.0997563968,428.363221448649,2427.39158820901,120.270111011791,1194.37327569209,13.555720653094,344.620206839456,1000100,21904.5245602364,21396.2045724032,955246.721664176,1194.37327569209,13.555720653094,344.620206839456,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,3.92798546271489,1133.32789969787,10199.9510972809,592.201787668739,5327.93998536813,148.116664579591,839.327765951016,160.746767760797,120.270111011791,341.544403228844
20,942440.197140326,2800.43604067669,25198.6267341647,2406.3792018096,21327.8180442181,557.750326774036,3160.58518505287,155.253840476982,1584.84593376992,18.050961050084,450.056591680887,1000100,27999.0627748414,27607.7865983316,942440.197140326,1584.84593376992,18.050961050084,450.056591680887,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,5.11176720911118,1439.03039422353,12951.2735480118,756.874605588294,6810.43965788235,190.846680055309,1081.46452031342,207.120427967002,155.253840476982,443.628096375791
21,926226.837940912,3565.37231702318,32084.3078414738,3080.77199231792,27417.3978256233,723.723743904987,4101.10121546159,199.901068363742,2091.16000851821,23.8904934724507,585.535552928492,1000100,35649.680158497,35522.8958456716,926226.837940912,2091.16000851821,23.8904934724507,585.535552928492,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,6.62982874620883,1816.49742284903,16348.4768056412,963.614139735993,8671.43455174969,245.235783506066,1389.66943986771,266.147361944567,199.901068363743,574.349833584242
22,905836.941473675,4516.74056560146,40647.5795714171,3935.62480779037,35130.112099399,936.021655841252,5304.12271643376,256.65138039994,2745.56825683938,31.4513970506593,759.186075551807,1000100,45164.3201370186,45562.5326598644,905836.941473675,2745.56825683938,31.4513970506593,759.186075551807,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,8.57088238914654,2275.87354466358,20482.8619019723,1220.7406934058,10985.8323165992,314.12759047071,1780.05634600069,340.91366407674,256.65138039994,741.192523800148
23,880411.294677428,5685.82365283277,51170.0580892297,5012.20175938622,44837.3347577088,1206.59898841287,6837.39426767294,328.406711848948,3588.59728114408,41.2092519376914,981.080562397581,1000100,56855.8817420624,58221.9364850298,880411.294677428,3588.59728114408,41.2092519376914,981.080562397581,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,11.0436499247288,2824.49123335616,25420.4211002055,1536.70909536021,13829.7454295215,400.840123133961,2271.42736442578,435.020288672516,328.406711848948,953.249450742604
24,849043.895482252,7100.47657828387,63902.4920961807,6356.94312787611,56957.041513632,1549.89134162332,8782.71760253215,418.522687133065,4670.73030225894,53.7593365447989,1263.52993168294,1000100,71002.9686744646,74065.1162727966,849043.895482252,4670.73030225894,53.7593365447989,1263.52993168294,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,14.1791185941958,3463.7427287216,31173.6845584944,1919.04772386051,17270.9438097786,509.107750502367,2884.94391951341,552.520039304894,418.522687133065,1221.35440655672
25,810861.93702384,8778.85072613222,79008.2850303185,8019.45636147513,71935.7240302291,1982.95513585325,11236.7457698351,530.728846304961,6054.16202145762,69.8395673746315,1621.31548717918,1000100,87787.1357564507,93705.6101436975,810861.93702384,6054.16202145762,69.8395673746315,1621.31548717918,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,18.1315898615992,4184.83609635767,37663.5248672191,2372.66235841411,21353.5905487347,642.919605529694,3643.2110980016,697.742207551606,530.728846304961,1558.08047763625
26,765151.913800777,10720.5396077425,96483.8097740386,10048.6641792827,90213.7191883961,2525.37501691646,14310.4584291933,668.9396876487,7814.44947211967,90.3534589108971,2071.77738497382,1000100,107204.349381781,117767.156501437,765151.913800777,7814.44947211967,90.3534589108971,2071.77738497382,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,23.0775070286273,4963.84257472263,44674.5831725036,2897.44313722769,26076.7053443348,806.209824659506,4568.5223397372,874.956398855277,668.939687648699,1977.51686239656
27,711534.735572755,12895.5406974257,116059.067466829,12486.5714716521,112169.108477776,3198.78800946675,18126.4653869782,836.91091889609,10041.7798072793,116.39023134663,2634.64195959496,1000100,128954.608164255,146817.844264769,711534.735572755,10041.7798072793,116.39023134663,2634.64195959496,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,29.2106749067948,5757.2054814179,51814.8493327612,3485.28126957452,31367.3155315755,1002.35632247335,5680.0191606823,1087.82856702534,836.91091889609,2494.70844020227
28,650174.541657099,15232.9325664914,137095.783467977,15359.4476231851,138038.356879919,4025.86239710264,22813.2202502483,1037.71005954651,12841.4644373765,149.237731496755,3331.44292955713,1000100,152328.716034469,181274.597210002,650174.541657099,12841.4644373765,149.237731496755,3331.44292955713,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,36.7324148796668,6499.8900288559,58499.0102597031,4117.00880175444,37052.9144508047,1233.47174600946,6989.67322738694,1338.65150729709,1037.71005954651,3124.65025555015
29,581980.822836559,17612.9223146541,158515.835578057,18666.9696875892,167818.599952491,5028.58667259087,28495.3244780149,1272.99555350204,16333.1751566154,190.382438445787,4184.3853314803,1000100,176128.757892711,221282.476344188,581980.822836559,16333.1751566154,190.382438445787,4184.3853314803,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,45.8353978813679,7109.10932934687,63981.9839641218,4760.24927423083,42842.1177237992,1499.53046547588,8497.33930436334,1627.39740439243,1272.99555350204,3880.7721000727
30,508734.264223528,19867.6286401769,178808.302692192,22371.0061467523,201166.696573472,6225.82252414042,35279.660970129,1542.1731055079,20648.4216583019,241.489955960449,5214.53350983829,1000100,198675.931332369,266585.359320002,508734.264223528,20648.4216583019,241.489955960449,5214.53350983829,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,56.6808951407151,7496.09783994527,67464.8805595075,5369.62936220997,48326.5682951869,1797.46666757333,10185.6444495822,1950.73901907183,1542.1731055079,4772.95769208284
31,433053.528784652,21795.773536839,196161.690851974,26387.0781732899,237322.379521464,7630.25892496984,43238.1339081624,1841.57692107127,25925.8951659194,304.359973847727,6439.32423781074,1000100,217957.464388813,316419.427448957,433053.528784652,25925.8951659194,304.359973847727,6439.32423781074,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,69.370920208293,7585.79591598812,68272.1632438931,5890.74960455107,53016.6732032362,2120.48774932352,12016.0972461666,2301.30453414955,1841.57692107127,5805.31358249678
32,358143.689393773,23193.0977245471,208737.672716525,30582.3057709113,275089.770183983,9245.17041811256,52389.2990359711,2164.22807120511,32304.6240539714,380.852418981862,7869.29021201782,1000100,231930.770441072,369470.773480183,358143.689393773,32304.6240539714,380.852418981862,7869.29021201782,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,83.9198295889281,7339.62909740288,66056.6618766259,6268.40479041813,56415.5872206824,2457.90916275331,13928.1519222687,2667.49831616638,2130.70978798218,6974.09818520014
33,287326.431577652,23894.6044004432,215051.281776414,34783.1739708038,312907.273942634,11061.6329715952,62682.5868390392,3217.64146525199,39914.8357290168,473.305799972623,8787.23152717686,1000100,238945.886176857,424652.309189324,287326.431577652,39914.8357290168,473.305799972623,8787.23152717686,7.73148148148149e-07,0.9,5,0.2,3.7,0.935,15,0.86,0.85,2.5,12.5,12.5,0.124,12.5,12.5,1,10000,0.8,12.5,150,0,101.654472734975,6775.1285734353,60976.1571609177,6458.00118930898,58121.9680476794,2795.77889167195,15842.7470528077,3034.1786421246,1212.76847282314,8264.93155913498
